ensembl_transcript_id	Refactor_log2FC	Refactor_pval	Refactor_padj	Dominissini_LFC	Dominissini_pval	Dominissini_padj
ENST00000005226	-3.13767556806772	1.92149600135829e-11	1.94332318202598e-10	-2.24525	0	0
ENST00000052754	-3.12762950487315	5.79352486456162e-15	7.7772999154621e-14	-2.01056	0	0
ENST00000216117	4.18581399256311	2.1618974082571e-155	1.10496978644252e-152	2.84745	0	0
ENST00000216968	3.19596352110802	1.2814844074378e-62	1.10874512994618e-60	2.39859	0	0
ENST00000218758	4.25330470214414	8.44470169214512e-06	4.64845964705236e-05	3.05508	4.50773e-09	3.36518e-08
ENST00000219821	-6.884968228569	0.00409251529665886	0.0143908042028009	Inf	0.00016115	0.000699012
ENST00000221818	5.6331607759509	0.00130613106452895	0.00508093268231137	Inf	5.3513e-08	3.60791e-07
ENST00000222482	2.99309480808804	9.61095859938976e-133	3.40080073516868e-130	2.06103	0	0
ENST00000223095	3.40512646991679	3.93229901749428e-16	5.73633471896628e-15	2.33347	4.44089e-16	5.58637e-15
ENST00000231751	6.16309202008705	0.00591826892751977	0.0200127692231739	Inf	2.84298e-05	0.00013784
ENST00000239472	3.46275107769993	0.00813388891842648	0.0265235508209559	2.38995	0.0028404	0.00971568
ENST00000240100	3.49607546789637	1.68784659893909e-08	1.30051831744051e-07	2.1563	0	0
ENST00000240101	3.71134697396583	0.00131978013419608	0.00512969042442076	Inf	1.53022e-07	9.84818e-07
ENST00000243776	3.02119307471131	7.25539230507701e-97	1.3530326190549e-94	2.11299	0	0
ENST00000244296	2.77087489343827	0.0116784334317517	0.0364044231665177	2.05812	0.0113597	0.0337397
ENST00000251127	-3.53749403720259	2.25396431786193e-05	0.000117084089158596	-2.50854	6.67215e-10	5.35779e-09
ENST00000251630	3.6917603077942	1.60669178379297e-12	1.77948207193764e-11	3.12011	1.83276e-12	1.81639e-11
ENST00000252773	5.95935554782854	2.12148979005084e-51	1.35854102564741e-49	4.13246	0	0
ENST00000256733	4.35420833761761	0.00173945686832912	0.00660371520851219	3.83948	0.000988847	0.00371243
ENST00000257836	-2.85885664123469	2.45660718287724e-17	3.86778997418208e-16	-2.14014	0	0
ENST00000258390	7.16745806278475	0.00132667115428097	0.00515502236493802	Inf	9.29808e-07	5.48852e-06
ENST00000258743	5.06131235515793	3.89115182456654e-05	0.000195799070844187	3.3398	3.52404e-06	1.93983e-05
ENST00000260113	-3.02758857991759	9.7045975277527e-30	2.88007410501048e-28	-2.08705	0	0
ENST00000261178	7.4212432699006	0.00132838573938072	0.00515877957041056	4.88363	0.0125866	0.0368866
ENST00000262065	-3.64889774896878	1.68258824676156e-76	2.00169981080255e-74	-2.55399	0	0
ENST00000262631	2.74083263267717	0.00726835264490435	0.0240564255905216	2.12523	0.00109677	0.00408177
ENST00000262992	5.88069156184847	0.011851638116612	0.0368818595127402	Inf	0.000754769	0.00290062
ENST00000263339	3.32323752333301	0.000197772700140884	0.000894254017675035	2.13461	0.000973459	0.00365871
ENST00000263341	4.85457409685788	1.60922617527275e-09	1.38363372079526e-08	3.20554	3.58247e-09	2.69821e-08
ENST00000263981	8.10866151208316	2.63646547169201e-06	1.5575010063934e-05	Inf	6.39962e-15	7.48997e-14
ENST00000264832	3.47937587186711	1.67486067630738e-11	1.70387595525557e-10	2.44983	1.32117e-13	1.42267e-12
ENST00000265342	-3.54587168156032	7.18744558325115e-48	4.14140914609043e-46	-2.63564	0	0
ENST00000267845	3.78782101121419	0.014554318335455	0.0442546200350951	2.53235	0.000108433	0.000482751
ENST00000267889	3.10276241482294	0.00505250146403744	0.0174028504189983	3.10534	0.0023173	0.00807436
ENST00000269051	-3.48331094258944	0.0102251917294236	0.0324199071490054	-2.41614	0.00586901	0.0187285
ENST00000271348	4.35499363994101	0.00769918919673783	0.0253063739228253	3.11291	5.90327e-07	3.56633e-06
ENST00000272559	-4.07439720948504	5.69371133533865e-09	4.60165249942451e-08	-3.47275	4.74465e-12	4.56367e-11
ENST00000273067	5.21998307448506	0.00459868742301478	0.015961239043663	Inf	2.64951e-06	1.47689e-05
ENST00000276480	-4.20004665648566	4.05624445861765e-09	3.32133145886461e-08	-3.00123	1.95334e-10	1.64187e-09
ENST00000284486	3.80840975069418	0.00876226285683928	0.0283581677824536	2.62656	0.0107088	0.0320204
ENST00000286186	-10.7807790430222	4.01983147412816e-13	4.69519038027664e-12	-2.21089	0	0
ENST00000289753	3.8028629783789	0.0087926968831335	0.028446657364258	2.65655	0.00982642	0.0296902
ENST00000290730	-7.05118011108936	0.000817800050588337	0.0033120002048772	Inf	5.67768e-08	3.82503e-07
ENST00000290871	5.97392430553084	0.0102705828054866	0.0325526051253366	Inf	4.99543e-05	0.000233588
