GeneID.exonNumber	Refactor_log2FC	Refactor_pvalue	Refactor_padj	Dominissini_log2FC	Dominissini_pvalue	Dominissini_padj
ENSG00000001461:E018	4.70755814979194	5.99730562297744e-10	2.14437585399134e-07	4.29464897610605	0.000158771858317031	0.040444148706432
ENSG00000003096:E008	2.25522073570415	7.47561242167951e-09	2.13363240335433e-06	2.42498952045497	5.31667440429873e-05	0.0169219295840457
ENSG00000048052:E033	-2.18962908466766	2.37335666973232e-09	7.47505370796279e-07	-2.08466607404096	0.000207229554355148	0.0492526133905131
ENSG00000065325:E003	2.35053865329521	4.02681771571505e-24	6.76413095000809e-21	2.76790860215044	7.18868187199462e-10	1.00513629956967e-06
ENSG00000089177:E006	3.94416702709289	1.02649943287843e-22	1.46487827917796e-19	4.06911976519115	3.90021348550817e-12	8.42791813610527e-09
ENSG00000106355:E017	2.49058621732365	9.98114685591629e-08	2.22005486853979e-05	2.81058815420933	8.6603628441928e-05	0.0249520799655457
ENSG00000106443:E019	2.17091171607043	2.35151840552917e-21	2.98583586644742e-18	2.3421817089835	1.3658518760451e-11	2.67760475304107e-08
ENSG00000113594:E020	3.60942190219319	8.96799402826412e-08	2.0141515055847e-05	36.3988866216906	8.85997339383771e-07	0.000521608303599192
ENSG00000115295:E024	3.74104761221546	3.15003957686004e-15	2.0990457937409e-12	4.02483967217241	2.59270016567115e-09	3.22237044512218e-06
ENSG00000133318:E005	2.63841650499593	9.99726363556535e-16	7.07078394449122e-13	2.67558033973744	6.24832281470589e-08	5.35211067476956e-05
ENSG00000134046:E006	4.26701325333538	1.5393088326972e-05	0.00200667634392146	36.149866110406	0.000157385758292827	0.040280162887547
ENSG00000135999:E005	2.08798364825594	1.13458203591942e-09	3.85992468245346e-07	2.07665120610149	6.45027541157361e-07	0.00039953468134007
ENSG00000141298:E010	3.12635122502002	1.83335844242122e-10	7.00577525374317e-08	3.32591023377606	2.00958754050795e-05	0.00771998277834164
ENSG00000142794:E019	3.89058005431156	0.000402000437308785	0.0300979549621549	33.5617793350317	2.83172374437868e-11	5.33143488894615e-08
ENSG00000143420:E007	2.485405289861	6.82547011830804e-11	2.78648521604587e-08	2.52105506505155	1.24621142364445e-05	0.00525448052987542
ENSG00000146416:E004	2.17171603409542	1.84251174466246e-13	1.03526048404452e-10	2.26619313652313	5.09743407151042e-07	0.000334247540748372
ENSG00000150527:E001	-2.43817553272669	9.64143858743925e-10	3.32924861613122e-07	-2.89076111934574	3.56854931735651e-05	0.0124511596530253
ENSG00000150540:E004	2.03161488038575	4.88232047223021e-10	1.76983001985675e-07	2.63404265681999	3.31045509409655e-05	0.0116145667856681
