GeneID.intronNumber	Refactor_log2FC	Refactor_pvalue	Refactor_padj	Dominissini_log2FC	Dominissini_pvalue	Dominissini_padj
ENSG00000047617:22	-4.07292822958237	9.21237675564904e-61	2.33774528784544e-57	-2.94358258527096	6.19882153691861e-09	1.36938653563375e-06
ENSG00000053108:4	-3.99994109916158	0.00145024697413773	0.017768827597646	-6.02572620691758	6.83777142711719e-06	0.000749947062509339
ENSG00000053108:5	-2.46756743526089	0.00011541642459865	0.00228211293312442	-4.0986314342048	4.670909356564e-05	0.00391968915473644
ENSG00000054392:11	2.75521156136152	9.99821523874923e-97	1.01486429316595e-92	5.32880084350845	4.78261795526602e-50	3.60661567841115e-46
ENSG00000062038:15	-2.59467267970662	0.000433581121484966	0.00673691902580071	-3.32701692048857	0.000615226760399983	0.0327142886081406
ENSG00000067334:6	2.40667554886624	2.00663066158434e-13	2.68645499423501e-11	2.60484050737412	3.7337998931368e-06	0.000445008863125695
ENSG00000070729:22	13.8662861971459	0.00028659604020813	0.00480695221112194	Inf	0.000469701877220336	0.0263172645181907
ENSG00000070729:32	4.81526138154586	9.37324189053563e-10	6.85825244618451e-08	7.04637643747915	1.38257152880371e-09	3.53972448942363e-07
ENSG00000078967:5	2.04855251966666	3.80092094594915e-08	1.99807828728791e-06	2.20090692972681	0.000468403906892539	0.0262622783944237
ENSG00000086015:9	-2.98013587876862	3.10712047463379e-44	4.62567382126982e-41	-3.68575129731752	3.95840317181901e-25	6.02490752126111e-22
ENSG00000100731:6	2.09477543164314	1.27174118716198e-09	9.11217136519747e-08	3.11476714167271	3.22141031557336e-07	5.02297797927521e-05
ENSG00000101901:12	4.03890275947617	7.8139502599586e-27	4.34062993171979e-24	3.85736428428311	4.91674302537928e-07	7.18648177607684e-05
ENSG00000104714:5	3.90719611128948	2.03641215033544e-15	3.48201529319607e-13	4.38189003116118	3.4267552482977e-05	0.00300967351734211
ENSG00000112695:5	2.62955489951427	1.1898842356839e-66	4.28569433339632e-63	2.12180968741675	0.000792414773919426	0.0398740614656744
ENSG00000118257:12	-3.63241882636521	2.30305149305885e-08	1.27553181774547e-06	-5.41038511091925	3.17979903659872e-07	4.96275991879467e-05
ENSG00000122257:1	-2.23436937322191	1.15519050084273e-87	9.21305681225681e-84	-2.45294294379565	5.88300600124243e-34	1.71230566250899e-30
ENSG00000123352:4	2.46560645014699	7.12489542129857e-36	6.91765389795732e-33	2.64690078627436	4.02037318779564e-08	7.70203225575113e-06
ENSG00000125844:18	3.08884886990954	1.63672720418788e-26	8.74396057337789e-24	2.82386170178671	1.9375042830959e-07	3.22730633115203e-05
ENSG00000134802:10	2.80365835317268	5.99957997582871e-07	2.39929477865743e-05	2.24915721249336	0.000421245742139977	0.0241737646502908
ENSG00000135678:1	2.80750314706466	1.5674809301057e-07	7.17283128077674e-06	4.66703595473607	3.36594396193563e-06	0.000406717820146373
ENSG00000140443:15	-2.34741972805601	1.24554699577976e-15	2.1798048560155e-13	-2.10605718517517	0.000262554174263128	0.0164808126095157
ENSG00000144152:4	-2.03123783389869	0.00377095000595298	0.0374783328964445	-3.48319152236802	3.51097501952622e-27	6.19664680467529e-24
ENSG00000145623:11	2.06196270985529	1.52817744884593e-32	1.22754426655318e-29	3.57361796395571	8.36392958563689e-36	2.6684795653375e-32
ENSG00000151376:7	-2.45217083656458	2.3515496390551e-18	5.8821133577716e-16	-3.35442721824163	3.401713986217e-11	1.11313206542277e-08
ENSG00000157152:5	3.45037951432406	8.12035511230091e-29	5.21079454059746e-26	3.53327177277436	4.48832298855739e-05	0.00379526369568616
ENSG00000157152:6	2.23004799310859	6.6308969640101e-41	8.60876811258314e-38	3.19661872555178	0.000188143081014186	0.0125356183584649
ENSG00000162604:1	-2.08199592646652	2.28761779502816e-22	8.37377286015484e-20	-2.71165915944703	1.0217883488138e-09	2.67379770065623e-07
ENSG00000163811:3	2.61267428113635	2.79894659340712e-20	8.09627932349408e-18	3.32406759366088	2.82641641349867e-10	7.93424346303018e-08
ENSG00000171877:8	-2.7559692019016	5.54772439349465e-21	1.78287891139463e-18	-3.60872831250763	8.17112932446864e-12	2.96635238390951e-09
ENSG00000171877:9	-2.28710431999489	9.05692414375646e-10	6.64685647940934e-08	-2.8863947293071	2.79268418324429e-05	0.00253455950074924
ENSG00000174705:9	-2.65830004442703	3.04002386298513e-10	2.43496315940893e-08	-3.51456086072433	1.93893505049358e-11	6.618869971545e-09
ENSG00000179912:19	-2.24503666496129	6.89358401475185e-07	2.71500219812034e-05	-2.63530341777554	1.65040673824438e-07	2.78544333165508e-05
