id	baseMean	baseMean_Mock_control	baseMean_METTL3_KD	foldChange	log2FoldChange	pval	padj
ENSG00000000003	1187.29309270518	1727.25945203345	647.326733376917	0.37477098916138	-1.41591881588415	1.9285452104126e-18	3.21002975678058e-17
ENSG00000000460	970.608144210636	1310.88149734464	630.33479107663	0.4808480342071	-1.05634707394024	2.24229239798193e-27	6.63018574927092e-26
ENSG00000001461	836.960514450361	1213.64443784959	460.276591051136	0.379251596840574	-1.39877283992823	3.54309489631136e-43	2.15810199760611e-41
ENSG00000001617	718.158204943069	411.847614960779	1024.46879492536	2.48749478620368	1.31469350176645	3.98846143943842e-29	1.27368667167438e-27
ENSG00000002746	120.501316276455	170.37423166126	70.62840089165	0.414548609862989	-1.27038681319904	1.08301398097627e-07	7.32236861084448e-07
ENSG00000003989	234.565935445946	142.190784576231	326.941086315661	2.29931276692817	1.20120272382271	9.37727021264501e-11	8.70512866833333e-10
ENSG00000004660	180.624056220419	260.650491261526	100.597621179311	0.385948327557058	-1.37352038876017	1.70727893328532e-12	1.82256510385196e-11
ENSG00000004777	92.777936361271	155.26994245502	30.2859302675223	0.195053400475729	-2.35805894499088	5.29113642814294e-16	7.40626573041373e-15
ENSG00000004799	652.684709907422	1089.3658048846	216.003614930243	0.198283821615939	-2.33436112496874	5.23748960470142e-89	1.27259611547278e-86
ENSG00000004838	62.5534868950212	40.0030191132627	85.1039546767798	2.12743829249038	1.08911728636049	0.00152215902478026	0.00570720275745352
ENSG00000005189	309.381661099254	485.645509568919	133.11781262959	0.274104897516198	-1.86719998941901	5.05061148779456e-31	1.79779250315541e-29
ENSG00000005243	220.158904729088	299.678318827968	140.639490630207	0.469301520310991	-1.09141296087624	1.83518407293740e-09	1.50656278980692e-08
ENSG00000005379	59.5529882636433	83.7837216781471	35.3222548491395	0.421588515545168	-1.2460925277028	0.000195975268391177	0.000857137771398233
ENSG00000005882	371.37496292476	522.359515104011	220.390410745509	0.421913269257908	-1.24498163356489	1.88247520814358e-18	3.13802019409707e-17
ENSG00000006016	40.6191985111149	77.0024930521299	4.23590397009993	0.0550099587974674	-4.18416336737159	1.45154246604855e-05	7.52674096173724e-05
ENSG00000006534	540.603571062258	726.631297095028	354.575845029489	0.487972162012612	-1.03512924806623	1.64620838537831e-17	2.55728577114293e-16
ENSG00000006576	2034.90113587311	2788.67186380372	1281.13040794249	0.459405218868253	-1.12216084898437	3.07044570124162e-44	1.91188699736923e-42
ENSG00000006611	612.193735958037	1040.15431927868	184.233152637392	0.177120980245655	-2.49719298328516	1.51988632068979e-37	7.30656748660205e-36
ENSG00000006638	300.532730873295	199.142578854372	401.922882892218	2.01826693821282	1.01311699950233	5.26419625056132e-10	4.55401869137181e-09
ENSG00000006756	128.282249547554	198.560901046412	58.0035980486974	0.292119937727014	-1.77536726675017	4.32903119926751e-14	5.29382732102986e-13
ENSG00000006831	2466.67739115215	3483.74735920141	1449.60742310288	0.416105783122912	-1.26497775549588	1.9818809871675e-72	3.11992729486918e-70
ENSG00000007202	6294.90542112968	8512.6404854808	4077.17035677857	0.478954839421753	-1.06203846400694	4.50621154359657e-53	3.80120199417199e-51
