ensembl_gene_id	Refactor_log2FC	Refactor_pval	Refactor_padj	Dominissini_log2FC	Dominissini_pval	Dominissini_padj
ENSG00000004777	-2.22351214124716	1.90586092474422e-11	1.19574532995507e-10	-2.35805894499088	5.29113642814294e-16	7.40626573041373e-15
ENSG00000004799	-2.35436366877537	6.60775831898669e-65	4.85254994802525e-63	-2.33436112496874	5.23748960470142e-89	1.27259611547278e-86
ENSG00000006016	-3.73318538096575	3.28393892782345e-11	2.01981030897114e-10	-4.18416336737159	1.45154246604855e-05	7.52674096173724e-05
ENSG00000006611	-2.48333184379083	4.79261991601192e-62	3.20437905727782e-60	-2.49719298328516	1.51988632068979e-37	7.30656748660205e-36
ENSG00000007402	3.04521797157054	1.23433753757974e-07	5.34071544350745e-07	3.3676636177769	3.18931163887779e-14	3.93671299698919e-13
ENSG00000011465	-2.50758231612548	5.10134545998775e-40	1.60931881776468e-38	-2.63878516372446	1.12769163425234e-71	1.72660402685457e-69
ENSG00000012223	6.13965934901112	0.000677052513100451	0.00176849537872827	Inf	0.00144645812807105	0.00543339354644602
ENSG00000026751	4.69292301338255	0.000241253953113516	0.000679281767419347	5.82982358532726	1.41430923820925e-06	8.32205020029736e-06
ENSG00000031691	-2.07093604554791	1.86945270773888e-63	1.32928967932819e-61	-2.03075303494137	5.98137760646211e-77	1.02852088472965e-74
ENSG00000039068	2.18751496276462	0.00359385030456314	0.00822509438743597	2.19424863524462	0.011059653132637	0.034280017488487
ENSG00000049130	-2.34793647744829	0	0	-2.3305388426265	0	0
ENSG00000053108	-3.56899553011836	6.59761880514461e-52	3.17797129470747e-50	-3.7847940668821	3.52662862468712e-81	7.03877288180857e-79
ENSG00000056345	2.62439340753398	0.000780951305761782	0.00202336699404908	2.28998609037907	0.000423240899870404	0.00175922779392023
ENSG00000063127	-2.03299679373544	0.00141084917383949	0.00349123149963719	-2.09701710044667	1.55723925055469e-05	8.03938249581977e-05
ENSG00000064195	-2.50509245894833	2.55381266011371e-13	1.87749936210438e-12	-2.53880555045713	1.70280244322284e-20	3.28992617249814e-19
ENSG00000064726	-2.03428140046136	1.50296332302224e-143	6.51558841874062e-141	-2.04541493141346	2.82497394412866e-168	3.94684172169076e-165
ENSG00000067798	3.17387123881487	1.14951018974865e-11	7.36333052432419e-11	3.59645627472866	3.5903138743373e-17	5.43384403161382e-16
ENSG00000068781	-3.18730789504896	1.98800526850294e-28	3.77355971799591e-27	-3.29246150991353	7.26317937867329e-22	1.53315497479568e-20
ENSG00000070729	2.05366809860156	3.49382221263091e-06	1.27834132086977e-05	2.47401957480592	3.59637685208802e-07	2.26715759028696e-06
ENSG00000073146	-3.27707202189326	1.37080528009984e-11	8.68155144168789e-11	-3.47941051922919	3.72530089196599e-08	2.65208204264356e-07
ENSG00000073282	-2.94855794259784	4.54051696363907e-06	1.6332978446024e-05	-3.32238923423615	1.58616032153683e-11	1.57376954405834e-10
ENSG00000073737	3.17537737112113	0.00492710303273341	0.0109646195821998	3.62833923060079	0.000634471116549801	0.00255227053074577
ENSG00000073803	2.35085517930711	4.71601124942768e-07	1.91591521103563e-06	2.2838430922088	6.02608138479736e-09	4.68220449342232e-08
ENSG00000075539	-2.03313719646166	2.2332403996749e-82	2.75344199369092e-80	-2.0272445287983	1.28860226070274e-106	4.36445680844684e-104
ENSG00000077092	-2.75049011076638	6.58295197408318e-14	5.03805760704464e-13	-3.01557219883972	7.71972854318056e-15	9.96344179297102e-14
ENSG00000078018	-2.12946612656859	4.23092995922881e-07	1.72405905767362e-06	-2.10878841044643	1.80959321556109e-05	9.27364666223123e-05
ENSG00000078114	-3.95718012421472	1.7907683169515e-13	1.3310915603712e-12	-4.79476410680775	2.66278660760137e-36	1.21230003719595e-34
ENSG00000079931	-2.06762841859516	1.7359016031754e-15	1.49351995166929e-14	-2.17077664678407	3.83919415945691e-23	8.80218935799997e-22
ENSG00000080573	2.29949499384029	0.00045674783168422	0.00122961420472841	2.58273047459844	0.000115639095260539	0.000523172705009937
ENSG00000081189	-2.23618145318142	0.00226565530152035	0.00537858003835576	-2.38938934436579	0.000218448486362581	0.000948562055973024
ENSG00000081985	2.92253343995947	0.000585809428173583	0.00154669801674357	3.29366035395184	2.16476200560319e-06	1.24622945849224e-05
ENSG00000084628	2.41766538924901	0.0126445091379816	0.0257216266599325	2.38056181292211	0.00635562032742614	0.020862487048353
ENSG00000086205	-3.24402326382559	2.40543716420423e-27	4.3333337868285e-26	-3.27060780727702	1.76862658219372e-19	3.17302396616039e-18
ENSG00000086289	-2.65684542083458	3.11326602815788e-83	3.9846840145156e-81	-2.63266644322238	1.19950080793328e-113	5.15646943471932e-111
ENSG00000088726	2.12420726277405	3.41094440612688e-14	2.67131013251394e-13	2.50108974838145	5.59833249364236e-20	1.03682787541741e-18
ENSG00000090339	3.44478228647318	1.28431380249012e-16	1.19445627623978e-15	3.68752215897836	4.15286344437325e-13	4.64630177354953e-12
ENSG00000091592	3.98725266165472	1.18773003284467e-08	5.71292194395114e-08	4.23012240922975	1.1793505420217e-12	1.27852580098706e-11
ENSG00000092529	-2.39891025905067	8.26850549033208e-14	6.2922109447663e-13	-2.69956371992908	3.70247848968472e-11	3.56439294394541e-10
ENSG00000095383	2.40295039128424	1.63899958211738e-108	3.33735081576901e-106	2.35276405281486	1.20960284192405e-101	3.80837491948876e-99
ENSG00000099957	-2.36070155473882	0.000151475487431777	0.000441578975183439	-2.7733787494972	3.08410576671517e-05	0.000152932786843724
